[ 2015-12-12T16:46:50+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (27).
[ 2015-12-12T16:46:50+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\Storage\view\compile\86589e6ffc089c870bf9bba1f5f8f654.php (37).
[ 2015-12-12T17:21:30+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T17:21:42+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T17:22:23+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T17:24:35+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T17:26:31+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T17:29:07+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T19:15:01+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (103).
[ 2015-12-12T19:15:01+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (105).
[ 2015-12-12T19:15:01+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (43).
[ 2015-12-12T19:15:46+08:00 ]NOTICE: Undefined variable: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (136).
[ 2015-12-12T19:25:38+08:00 ]EXCEPTION: Hoem\Controller\MemberController 不存在
[ 2015-12-12T19:26:23+08:00 ]EXCEPTION: Hoem\Controller\MemberController 不存在
